ClassSkillIndex,Level,IconResourcePath
1010,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_1_1
1010,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_1_2
1010,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_1_3
1010,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_1_4
1010,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_1_5
1020,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_2_1
1020,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_2_2
1020,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_2_3
1020,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_2_4
1020,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_2_5
1030,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_3_1
1030,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_3_2
1030,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_3_3
1030,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_3_4
1030,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_3_5
1040,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_4_1
1040,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_4_2
1040,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_4_3
1040,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_4_4
1040,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_4_5
1050,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_5_1
1050,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_5_2
1050,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_5_3
1050,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_5_4
1050,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_5_5
1060,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_6_1
1060,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_6_2
1060,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_6_3
1060,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_6_4
1060,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_6_5
1070,1,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_7_1
1070,2,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_7_2
1070,3,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_7_3
1070,4,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_7_4
1070,5,Icon_Skill_Sprite/Guardian_Skill_Icon/Guardian_Skill_Icon_7_5
2010,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_1_1
2010,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_1_2
2010,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_1_3
2010,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_1_4
2010,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_1_5
2020,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_2_1
2020,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_2_2
2020,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_2_3
2020,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_2_4
2020,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_2_5
2030,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_3_1
2030,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_3_2
2030,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_3_3
2030,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_3_4
2030,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_3_5
2040,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_4_1
2040,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_4_2
2040,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_4_3
2040,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_4_4
2040,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_4_5
2050,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_5_1
2050,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_5_2
2050,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_5_3
2050,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_5_4
2050,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_5_5
2060,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_6_1
2060,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_6_2
2060,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_6_3
2060,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_6_4
2060,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_6_5
2070,1,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_7_1
2070,2,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_7_2
2070,3,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_7_3
2070,4,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_7_4
2070,5,Icon_Skill_Sprite/Blaster_Skill_Icon/Blaster_Skill_Icon_7_5
3010,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_1_1
3010,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_1_2
3010,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_1_3
3010,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_1_4
3010,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_1_5
3020,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_2_1
3020,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_2_2
3020,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_2_3
3020,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_2_4
3020,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_2_5
3030,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_3_1
3030,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_3_2
3030,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_3_3
3030,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_3_4
3030,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_3_5
3040,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_4_1
3040,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_4_2
3040,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_4_3
3040,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_4_4
3040,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_4_5
3050,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_5_1
3050,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_5_2
3050,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_5_3
3050,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_5_4
3050,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_5_5
3060,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_6_1
3060,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_6_2
3060,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_6_3
3060,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_6_4
3060,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_6_5
3070,1,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_7_1
3070,2,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_7_2
3070,3,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_7_3
3070,4,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_7_4
3070,5,Icon_Skill_Sprite/Striker_Skill_Icon/Striker_Skill_Icon_7_5
4010,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_1_1
4010,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_1_2
4010,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_1_3
4010,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_1_4
4010,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_1_5
4020,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_2_1
4020,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_2_2
4020,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_2_3
4020,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_2_4
4020,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_2_5
4030,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_3_1
4030,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_3_2
4030,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_3_3
4030,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_3_4
4030,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_3_5
4040,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_4_1
4040,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_4_2
4040,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_4_3
4040,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_4_4
4040,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_4_5
4050,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_5_1
4050,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_5_2
4050,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_5_3
4050,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_5_4
4050,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_5_5
4060,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_6_1
4060,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_6_2
4060,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_6_3
4060,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_6_4
4060,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_6_5
4070,1,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_7_1
4070,2,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_7_2
4070,3,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_7_3
4070,4,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_7_4
4070,5,Icon_Skill_Sprite/Supporter_Skill_Icon/Supporter_Skill_Icon_7_5
5010,1,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_1_1
5010,2,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_1_2
5010,3,Icon_Skill_Sprite/Fighter_Skill_Icon/Fighter_Skill_Icon_1_3
