WeaponSkillIndex,Level,IconResourcePath
311010,1,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_1_1
311010,2,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_1_2
311010,3,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_1_3
311010,4,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_1_4
311010,5,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_1_5
311020,1,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_2_1
311020,2,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_2_2
311020,3,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_2_3
311020,4,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_2_4
311020,5,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_2_5
311030,1,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_3_1
311030,2,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_3_2
311030,3,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_3_3
311030,4,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_3_4
311030,5,Icon_WeaponSkill_Sprite/Guardian_WeaponSkill_Icon/Guardian_WeaponSkill_Icon_3_5
313010,1,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_1_1
313010,2,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_1_2
313010,3,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_1_3
313010,4,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_1_4
313010,5,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_1_5
313020,1,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_2_1
313020,2,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_2_2
313020,3,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_2_3
313020,4,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_2_4
313020,5,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_2_5
313030,1,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_3_1
313030,2,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_3_2
313030,3,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_3_3
313030,4,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_3_4
313030,5,Icon_WeaponSkill_Sprite/Blaster_WeaponSkill_Icon/Blaster_WeaponSkill_Icon_3_5
312010,1,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_1_1
312010,2,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_1_2
312010,3,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_1_3
312010,4,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_1_4
312010,5,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_1_5
312020,1,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_2_1
312020,2,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_2_2
312020,3,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_2_3
312020,4,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_2_4
312020,5,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_2_5
312030,1,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_3_1
312030,2,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_3_2
312030,3,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_3_3
312030,4,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_3_4
312030,5,Icon_WeaponSkill_Sprite/Striker_WeaponSkill_Icon/Striker_WeaponSkill_Icon_3_5
314010,1,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_1_1
314010,2,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_1_2
314010,3,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_1_3
314010,4,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_1_4
314010,5,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_1_5
314020,1,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_2_1
314020,2,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_2_2
314020,3,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_2_3
314020,4,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_2_4
314020,5,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_2_5
314030,1,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_3_1
314030,2,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_3_2
314030,3,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_3_3
314030,4,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_3_4
314030,5,Icon_WeaponSkill_Sprite/Supporter_WeaponSkill_Icon/Supporter_WeaponSkill_Icon_3_5
315010,1,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_1_1
315010,2,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_1_2
315010,3,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_1_3
315010,4,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_1_4
315010,5,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_1_5
315020,1,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_2_1
315020,2,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_2_2
315020,3,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_2_3
315020,4,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_2_4
315020,5,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_2_5
315030,1,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_3_1
315030,2,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_3_2
315030,3,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_3_3
315030,4,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_3_4
315030,5,Icon_WeaponSkill_Sprite/Fighter_WeaponSkill_Icon/Fighter_WeaponSkill_Icon_3_5
