WeaponIndex,IconResourcePath
310101,Icon_Weapon_Sprite/Guardian_Weapon_Icon/Guardian_Weapon_Icon_1
310102,Icon_Weapon_Sprite/Guardian_Weapon_Icon/Guardian_Weapon_Icon_2
310103,Icon_Weapon_Sprite/Guardian_Weapon_Icon/Guardian_Weapon_Icon_3
310201,Icon_Weapon_Sprite/Blaster_Weapon_Icon/Blaster_Weapon_Icon_1
310202,Icon_Weapon_Sprite/Blaster_Weapon_Icon/Blaster_Weapon_Icon_2
310203,Icon_Weapon_Sprite/Blaster_Weapon_Icon/Blaster_Weapon_Icon_3
310301,Icon_Weapon_Sprite/Striker_Weapon_Icon/Striker_Weapon_Icon_1
310302,Icon_Weapon_Sprite/Striker_Weapon_Icon/Striker_Weapon_Icon_2
310303,Icon_Weapon_Sprite/Striker_Weapon_Icon/Striker_Weapon_Icon_3
310401,Icon_Weapon_Sprite/Supporter_Weapon_Icon/Supporter_Weapon_Icon_1
310402,Icon_Weapon_Sprite/Supporter_Weapon_Icon/Supporter_Weapon_Icon_2
310403,Icon_Weapon_Sprite/Supporter_Weapon_Icon/Supporter_Weapon_Icon_3
310501,Icon_Weapon_Sprite/Fighter_Weapon_Icon/Fighter_Weapon_Icon_1
310502,Icon_Weapon_Sprite/Fighter_Weapon_Icon/Fighter_Weapon_Icon_2
310503,Icon_Weapon_Sprite/Fighter_Weapon_Icon/Fighter_Weapon_Icon_3
