ClassSkillIndex,Level,IconResourcePath
1010,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_01
1010,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_01
1010,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_01
1010,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_01
1010,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_01
1020,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_02
1020,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_02
1020,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_02
1020,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_02
1020,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_02
1030,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_03
1030,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_03
1030,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_03
1030,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_03
1030,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_03
1040,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_04
1040,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_04
1040,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_04
1040,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_04
1040,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_04
1011,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_05
1011,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_05
1011,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_05
1011,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_05
1011,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_05
1021,1,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_06
1021,2,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_06
1021,3,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_06
1021,4,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_06
1021,5,UI_Sprite/UI_Icon/HeroSkill/UI_icon_heroSkill_Justice_06
